"id","group","title_zh","title_en","date","status","description","link_label","public_url"
"1","传记与身份 / Biography and identity","四川大学晚出传记","Later SCU biography","Modern","C","The unstable Lyon–Strasbourg phrase and claimed doctorate are retrospective; university documentation remains necessary.","SCU biography","https://historytourism.scu.edu.cn/info/1018/2426.htm"
"2","传记与身份 / Biography and identity","《宜兴人物志》胡鉴民家属撰文","Family-authored Yixing biography","1997","B/C","Printed contents attribute the p.104 entry to Gu Pinyue and Hu Qingfang. The preview does not contain the full biographical page.","Public preview PDF","https://pdfyl.ertongbook.com/47/32587203.pdf"
"3","传记与身份 / Biography and identity","卢剑波亲历回忆","Lu Jianbo’s retrospective testimony","Retrospective","C","A personal recollection of Hu, Gille, the translation, and their anarchist milieu; not proof of a university qualification.","Lu Jianbo memoir","https://www.78621.org/ljb-bio-8-7/"
"4","传记与身份 / Biography and identity","HU CHIEN MIN / HU KIEN MING","Contemporaneous name forms","1931 / 1933","A","Two directly attested romanizations, from the Commercial Press edition and the Chinese-student roster in Belgium.","1931 edition scan lookup","https://commons.wikimedia.org/w/index.php?search=SSID-11336013&title=Special:MediaSearch&type=other"
"4","传记与身份 / Biography and identity","HU CHIEN MIN / HU KIEN MING","Contemporaneous name forms","1931 / 1933","A","Two directly attested romanizations, from the Commercial Press edition and the Chinese-student roster in Belgium.","1933 roster","https://commons.wikimedia.org/wiki/File:NLC416-08jh003843-21598_%E7%95%99%E6%AF%94%E5%90%8C%E5%AD%B8%E9%8C%84.pdf"
"5","齐尔与《自由哲学》 / Gille and translation","齐尔法文原著","Gille, Esquisse d’une philosophie de la dignité humaine","1924","A/B","Hu’s translator preface explicitly identifies this 1924 French book as the original of 自由哲学.","Michigan Gille Papers","https://findingaids.lib.umich.edu/catalog/umich-scl-ams0283"
"6","齐尔与《自由哲学》 / Gille and translation","《自由哲学》1928年台湾大学藏本","1928 NTU textual state","1928","A/B","97 pages; its early front matter differs from the 1930–31 copies. Exact edition status remains open.","NTU eBook NTUL-0529633","https://taiwanebook.ncl.edu.tw/zh-tw/book/NTUL-0529633"
"7","齐尔与《自由哲学》 / Gille and translation","《自由哲学》1930年馆藏本","1930 Commercial Press catalogue/scan state","1930","B","112-page metadata state with Cai Yuanpei’s preface; not yet collated fully with the 1931 edition.","Taiwan eBook portal","https://taiwanebook.ncl.edu.tw/"
"8","齐尔与《自由哲学》 / Gille and translation","《自由哲学》1931年商务本","1931 Commercial Press first-edition imprint","1931-02","A","The bilingual imprint reads HU CHIEN MIN and First Edition February 1931; Li Shizeng and Cai Yuanpei supplied paratext.","Original-scan lookup SSID-11336013","https://commons.wikimedia.org/w/index.php?search=SSID-11336013&title=Special:MediaSearch&type=other"
"9","齐尔与《自由哲学》 / Gille and translation","太虚与胡鉴民在布鲁塞尔","Taixu, Gille and Hu in Brussels","1928","B","Contemporary materials document the meeting, translation manuscript and Taixu’s preface, without establishing Hu’s degree.","Taixu collected writings (PDF)","https://deerpark.app/download/cbeta-2021Q1/pdf/Y/Y0013.pdf"
"10","齐尔与《自由哲学》 / Gille and translation","胡鉴民《太虚法师在欧洲》","Hu’s account of Taixu’s visit","1928","B","Contemporary reporting of the Brussels meeting and questions about religion, reason, science and metaphysics.","CBETA collection","https://cbetaonline.dila.edu.tw/"
"11","齐尔与《自由哲学》 / Gille and translation","太虚《答鑑民君之疑點》","Taixu’s reply to Hu","1929-04-29","B","Bibliographic locator: 海潮音 10(3), original pp. 1–2; full text still needs direct collation.","CBETA collection search","https://cbetaonline.dila.edu.tw/"
