entry_id,title_zh_en,public_link_label,public_url
1,"地名异写与地理消歧 / Historical spellings and geographic disambiguation","Klaproth / BnF","https://catalogue.bnf.fr/ark:/12148/cb42046690g"
1,"地名异写与地理消歧 / Historical spellings and geographic disambiguation","Blakiston 1862 / digitized","https://archive.org/details/fivemonthsonyan00blakgoog"
2,"Klaproth 的泸州分幅手绘地图 / Julius von Klaproth's manuscript Luzhou sheet","BnF catalogue cb42046690g","https://catalogue.bnf.fr/ark:/12148/cb42046690g"
3,"Blakiston 于1861年实地经过泸州 / Thomas W. Blakiston's visit, 13 May 1861","Blakiston 1862 / digitized book","https://archive.org/details/fivemonthsonyan00blakgoog"
4,"法国湄公河考察队1868年的经济地理记录 / Francis Garnier's 1868 economic-geographic account","Garnier 1873 vol. II / BHL","https://www.biodiversitylibrary.org/item/235075"
5,"1895—1896年 Madrolle 手绘路线图 / Claudius Madrolle's itinerary map, 1895–96","Madrolle map / BnF","https://catalogue.bnf.fr/ark:/12148/cb40650340m"
6,"Isabella Bird 1897年访问与泸州宝塔照片 / Isabella Bird's 1897 visit and the pagoda photograph","Bird 1899 / Gutenberg","https://www.gutenberg.org/ebooks/77853"
6,"Isabella Bird 1897年访问与泸州宝塔照片 / Isabella Bird's 1897 visit and the pagoda photograph","Bird 1899 / Smithsonian","https://library.si.edu/digital-library/book/yangtzevalleybe00bird"
7,"Archibald John Little 1901年的城市与商品观察 / Archibald John Little's account of urban and material life","*Mount Omi and Beyond*, 1901","https://pahar.in/pahar/Books%20and%20Articles/Tibet%20and%20China/1901%20Mount%20Omi%20and%20Beyond--%20Record%20of%20travel%20on%20Thibetan%20Border%20by%20Little%20s.pdf"
8,"Gourdin 与1864年起的泸州常驻传教档案 / François Gourdin and the resident MEP record","IRFA Gourdin 0836","https://irfa.paris/missionnaire/0836-gourdin-francois/"
9,"Julien Clerc《在中国十六年》书信集 / Julien Clerc's *Seize ans en Chine*","Gallica full digital object","https://gallica.bnf.fr/ark:/12148/bpt6k107952c"
9,"Julien Clerc《在中国十六年》书信集 / Julien Clerc's *Seize ans en Chine*","BnF catalogue","https://catalogue.bnf.fr/ark:/12148/cb30250373s"
9,"Julien Clerc《在中国十六年》书信集 / Julien Clerc's *Seize ans en Chine*","IRFA Clerc 1032","https://irfa.paris/missionnaire/1032-clerc-julien/"
10,"1884年救济院、1885年疫病与当时讣闻 / Hospice, epidemic and contemporary necrology","IRFA annual report 1885","https://irfa.paris/ancienne_publication/rapport-annuel-1885/sutchuen-meridional/"
10,"1884年救济院、1885年疫病与当时讣闻 / Hospice, epidemic and contemporary necrology","IRFA Clerc","https://irfa.paris/missionnaire/1032-clerc-julien/"
11,"Scherrier 与1887年泸州城市大火线索 / Paul Scherrier and the reported 1887 city fire","IRFA Scherrier 1209","https://irfa.paris/missionnaire/1209-scherrier-paul/"
11,"Scherrier 与1887年泸州城市大火线索 / Paul Scherrier and the reported 1887 city fire","IRFA annual report 1887","https://irfa.paris/ancienne_publication/rapport-annuel-1887/sutchuen-meridional/"
12,"1894—1895年川南年报与教产冲突 / Southern Sichuan annual reports and 1895 crisis","1894 IRFA PDF","https://irfa.paris/wp-content/uploads/2021/12/1894_20.pdf"
12,"1894—1895年川南年报与教产冲突 / Southern Sichuan annual reports and 1895 crisis","1895 IRFA PDF","https://irfa.paris/wp-content/uploads/2021/12/1895_20.pdf"
13,"Gourdin 及川南传教语言出版物 / Western Mandarin lexicons and the MEP print network","IRFA Gourdin","https://irfa.paris/missionnaire/0836-gourdin-francois/"
13,"Gourdin 及川南传教语言出版物 / Western Mandarin lexicons and the MEP print network","IRFA Gaztelu","https://irfa.paris/missionnaire/1271-gaztelu-joseph/"
14,"Albert d'Amade 的泸州—宜宾军事地理踏勘 / Albert d'Amade's photographic-cartographic reconnaissance","ECPAD image D137-12-52","https://imagesdefense.gouv.fr/fr/province-du-sse-tchuen-sichuan-pont-de-koung-pou-tciao-sur-la-route-de-lou-tcheou-a-sou-tcheou-fou-legende-d-origine.html"
15,"内地会泸州站与 SOAS 图片类目 / CIM Luchow station and the SOAS photo handlist","SOAS CIM photograph handlist PDF","https://digital.soas.ac.uk/content/LO/AA/00/34/73/00001/PDF.pdf"
16,"加拿大循道宗泸州站及 Jolliffe 罕见誊写回忆录 / Canadian Methodist station and Jolliffe's typescript","Jolliffe family fonds / UCC catalogue","https://catalogue.unitedchurcharchives.ca/jolliffe-family-fonds"
